Manufacturer,Disc Model,Max Weight,Diameter,Height,Rim Depth,Inside Rim Diameter,Rim Thickness,Rim Configuration,Flexibility,Class,Max Weight Vint (gr),Last Year Production,Certification Number,Approved Date
Yikun Discs,Tiān Shí (天石),176.8,21.3,1.7,1.3,18.9,1.2,55.5,10.8,,,,23-30,30-Jan-23
Birdie,Ultra,176.8,21.4,1.6,1.2,18.4,1.5,44.75,10.68,,,,23-22,30-Jan-23
Axiom Discs,Tempo,176,21.2,1.6,1.4,18.7,1.2,55.5,7.16,,,,23-23,30-Jan-23
Full Turn Discs,Guide,180.9,21.8,1.8,1.2,19,1.4,55.5,6.36,,,,23-20,23-Jan-23
Wing It Disc Golf,Dream ,176.8,21.3,1.4,1.1,16.5,2.4,27,9.32,,,,23-21,23-Jan-23
Dynamic Discs,Sockibomb Felon,176,21.2,1.6,1.1,17.1,2,31.5,11.93,,,,23-18,23-Jan-23
Dynamic Discs,Supreme Fugitive,180.1,21.7,1.9,1.3,18.7,1.5,39,11.7,,,,23-19,23-Jan-23
STM Disc Golf,Cloud Ripper,175.1,21.1,2.1,1.4,18.8,1.2,46.25,8.75,,,,23-12,16-Jan-23
STM Disc Golf,Osiris,178.5,21.5,2.2,1.3,18.9,1.3,52.75,10.34,,,,23-13,16-Jan-23
STM Disc Golf,War Bonnet,175.1,21.1,1.7,1.1,16.3,2.4,28.5,12.25,,,,23-15,16-Jan-23
STM Disc Golf,Overwatch,175.1,21.1,2.1,1.4,18.8,1.2,42.25,9.32,,,,23-14,16-Jan-23
Goto Disc Golf,Skool,174.3,21,2.2,1.5,18.9,1.1,57,10.34,,,,23-16,16-Jan-23
Elevation Disc Golf,Gecko,175.1,21.1,1.5,1.1,17.5,1.8,33.5,1.59,,,,23-17,16-Jan-23
Premier Discs,War Bear,176,21.2,1.8,1.1,17.9,1.7,35.75,9.2,,,,23-10,9-Jan-23
Legacy Discs,Rebel,174.3,21,2.1,1.5,18.9,1.1,60.25,9.77,,,,23-11,9-Jan-23
Independent Discs Sweden AB,Sense,175.1,21.1,1.9,1.3,18.9,1.1,58.75,7.84,,,,23-1,9-Jan-23
OSUMA Disc,Husky,176,21.2,1.7,1.1,17.4,1.9,31.5,7.73,,,,23-4,9-Jan-23
OSUMA Disc,Pike,180.1,21.7,1.7,1.4,18.8,1.4,39,6.82,,,,23-5,9-Jan-23
OSUMA Disc,Santa,176.8,21.3,2.1,1.6,19.2,1,57.25,6.02,,,,23-6,9-Jan-23
Prodiscus,Empire,175.1,21.1,1.9,1.2,16.3,2.4,28,8.3,,,,23-3,9-Jan-23
Wild Discs,Tasmanian Devil V2,176,21.2,1.8,1.1,17.2,2,30.75,8.64,,,,23-2,9-Jan-23
Lone Star Disc,Brazos,176,21.2,1.7,1.1,17.7,1.8,29.25,7.16,,,,23-9,9-Jan-23
Terminal Velocity Discs,Cervini,176.8,21.3,1.5,1.1,17.3,2,31,7.16,,,,23-8,9-Jan-23
Jester Disc Golf,Love,176,21.2,2,1.5,19,1.1,59,7.16,,,,23-7,9-Jan-23
Lone Star Disc,Frio,175.1,21.1,1.6,1.1,17.6,1.8,32.5,7.5,,,,22-230,26-Dec-22
Lone Star Disc,Seguin,175.1,21.1,1.6,1.1,16.6,2.3,28,7.84,,,,22-231,26-Dec-22
Discraft,Venom (retooled),174.3,21,2,1.2,16.6,2.2,29,12.25,,,,22-232,26-Dec-22
Dynamic Discs,Supreme Trespass,175.1,21.1,1.7,1.1,16.6,2.2,30,11.93,,,,22-229,19-Dec-22
Perks and Re-creation,Big Bend,175.1,21.1,1.4,1.1,16.4,2.4,28.25,5.8,,,,22-220,12-Dec-22
Exel Discs,Nila,176.8,21.3,1.9,1.6,19.1,1.1,66,6.59,,,,22-222,12-Dec-22
Exel Discs,Korpi,177.6,21.4,1.6,1.1,16.7,2.3,29.25,8.98,,,,22-221,12-Dec-22
Latitude 64,Honor,176,21.2,1.8,1.1,17.4,1.9,31.75,10.23,,,,22-223,12-Dec-22
Latitude 64,Savior,177.6,21.4,1.7,1.2,19.1,1.2,46.75,9.32,,,,22-224,12-Dec-22
Finish Line Discs,Pace,175.1,21.1,2,1.5,18.9,1.1,60.25,10.68,,,,22-225,12-Dec-22
Innova Champion Discs,Alien,178.5,21.5,2.5,1.5,20.3,0.6,82,3.3,,,,22-228,12-Dec-22
Doomsday Discs,Pestilence,176,21.2,1.5,1.1,16.5,2.4,28,8.64,,,,22-226,12-Dec-22
Doomsday Discs,Scope,176,21.2,1.5,1.2,18.5,1.4,35.75,3.41,,,,22-227,12-Dec-22
TOSY,TOSY Smart S12,175.1,21.1,1.6,1.3,15.9,2.6,30,9.32,,,,22-217,5-Dec-22
Wingman,Havran,182.6,22,2,1.3,19.2,1.4,42.5,12.16,,,,22-219,5-Dec-22
Pie Pan Discs,Uncle,175.1,21,1.7,1.2,16.5,2.3,30.75,9.43,,,,22-213,28-Nov-22
Discmania,Tailor,180.1,21.7,1.8,1.3,19.1,1.3,45.25,8.86,,,,22-212,28-Nov-22
Discmania,CD1,176,21.2,1.7,1.1,17.3,1.9,31.25,8.52,,,,22-209,28-Nov-22
Discmania,DD1,176,21.2,1.5,1.1,16.8,2.2,30.75,8.3,,,,22-210,28-Nov-22
Discmania,FD1,176,21.2,1.7,1.1,17.6,1.8,36.25,8.98,,,,22-211,28-Nov-22
Lone Star Disc,Nimitz,176,21.2,1.7,1.1,16.9,2.2,27.75,7.05,,,,22-215,28-Nov-22
Lone Star Disc,Bayonet,174.3,21,1.8,1.1,16.4,2.3,26,7.5,,,,22-214,28-Nov-22
Perks and Re-creation,Death,177.6,21.4,2.2,1.5,19.2,1.1,70.75,5.23,,,,22-216,28-Nov-22
Taito Frisbeegolf,Tarkka (Premium variant),176.8,21.3,2.1,1.6,19.1,1.1,59.75,7.05,,,,22-200,21-Nov-22
Taito Frisbeegolf,Tarkka (Ultrium variant),176.8,21.3,2,1.6,19.1,1.1,59.75,6.7,,,,22-201,21-Nov-22
Premier Discs,"War Dove (Zulu Line, stiff variant)",175.1,21.1,2,1.6,18.9,1.1,68.25,11.48,,,,22-199,21-Nov-22
Clash Discs,Spice,175.1,21.1,2,1.2,17.2,2,31.5,11.82,,,,22-198,21-Nov-22
Daredevil Discs,Hellbender (Beluga variant),176,21.2,1.7,1.3,19,1.1,60.5,5.68,,,,22-204,21-Nov-22
Daredevil Discs,Hellbender (Killer Whale variant),176,21.2,1.7,1.3,19,1.1,60.5,9.32,,,,22-205,21-Nov-22
Daredevil Discs,Hellbender (Memphré variant),176,21.2,1.7,1.3,19,1.1,60.5,4.43,,,,22-206,21-Nov-22
Daredevil Discs,Hellbender (Salamander variant),176,21.2,1.7,1.3,19,1.1,60.5,7.73,,,,22-208,21-Nov-22
Daredevil Discs,Hellbender (Razorback variant),175.1,21.1,1.9,1.3,18.9,1.1,60.5,9.43,,,,22-207,21-Nov-22
Dynamic Discs,Supreme Judge,176,21.2,2.2,1.4,19,1.1,58.25,10.45,,,,22-203,21-Nov-22
Alfa Discs,Galileo,175.1,21.1,1.7,1.4,18.8,1.2,59,6.14,,,,22-202,21-Nov-22
Løft Discs,Xenon,175.1,21.1,1.5,1.2,17.1,2,27,10.23,,,,22-197,14-Nov-22
Prysm Discs,Arc,174.3,21,1.9,1.2,16.6,2.2,29.25,7.5,,,,22-196,14-Nov-22
Elevation Disc Golf,Arowana,175.1,21.1,1.8,1.3,19.1,1,62.25,0.91,,,,22-194,7-Nov-22
Prodigy Disc,F9,175.1,21.1,1.9,1.1,17.5,1.8,31.5,8.41,,,,22-193,7-Nov-22
Precision Flytes,Z Flyer,200,27.5,3.2,1.9,25.7,0.9,109.75,4.66,Super Class & Vintage Class,180.9,,22-195,7-Nov-22
Newb SimHouse Custom Discs,NSH9 Hexxus,180.9,21.8,1.8,1.4,20,0.9,62.5,3.75,,,,22-186,31-Oct-22
Premier Discs,War Pigeon (stiff variant),176,21.2,2,1.5,19.1,1.1,68.25,12.05,,,,22-192,31-Oct-22
Innova Champion Discs,Rat (New),176,21.2,1.8,1.3,18.8,1.2,66.75,11.14,,,,22-188,31-Oct-22
Innova Champion Discs,Jay (New),180.1,21.7,1.7,1.2,18.9,1.4,45.75,11.48,,,,22-187,31-Oct-22
Innova Champion Discs,Wombat 3 (New),180.1,21.7,1.8,1.2,18.9,1.4,30,11.59,,,,22-189,31-Oct-22
Alfa Discs,Atlantis,175.1,21.1,1.7,1.1,17.2,1.9,29.5,5.8,,,,22-190,31-Oct-22
Newb SimHouse Custom Discs,NSH0 Nexxus,180.9,21.8,1.9,1.6,19.9,0.9,73.75,3.64,,,,22-191,31-Oct-22
Crown Me (Sunny Sporting Co. Ltd),Adventure Driver S,175.1,21.1,1.7,1.1,17.3,1.9,27.5,12.05,,,,22-183,24-Oct-22
Crown Me (Sunny Sporting Co. Ltd),Space Driver,175.1,21.1,1.8,1.1,17.2,1.9,26.25,11.36,,,,22-185,24-Oct-22
Crown Me (Sunny Sporting Co. Ltd),Driver Pro,175.1,21.1,1.7,1.1,17.3,1.9,26.25,11.59,,,,22-184,24-Oct-22
